timestamp,target
1679599748.110322,[]
1679599748.3818848,[]
1679599748.655268,[]
1679599748.9281416,[]
1679599749.1974783,[]
1679599749.4689612,[]
1679599749.744872,[]
1679599750.0112154,[]
1679599750.2794783,[]
1679599750.5493171,[]
1679599750.8232334,[]
1679599751.0945377,[]
1679599751.3635178,[]
1679599751.6320202,[]
1679599751.9076054,[]
1679599752.1754174,"[[1, 7.285063056890633, -1.237639841983851, 15.573768220927805, 0.0008443496547488944]]"
1679599752.4459503,[]
1679599752.716798,[]
1679599752.984762,[]
1679599753.2501178,[]
1679599753.5211115,[]
1679599753.7928586,[]
1679599754.0625315,[]
1679599754.3326247,[]
1679599754.6037002,[]
1679599754.8851733,[]
1679599755.1510513,"[[1, 138.20476849376428, 45.00418531135086, 292.9443110180514, 0.00075785063767178]]"
1679599755.4202566,"[[1, 138.16931143038582, 43.0385659230997, 293.1626873898774, 0.0007453855195132925]]"
1679599755.6895313,"[[1, 137.94912745599396, 48.07493046830516, 291.9004645992628, 0.0008558878379300426]]"
1679599755.9927397,"[[1, 138.15880919750361, 53.888901431941306, 291.340555731281, 0.0007481327030574849]]"
1679599756.2665334,[]
1679599756.5351844,[]
1679599756.8055363,[]
1679599757.0717192,[]
1679599757.3575282,[]
1679599757.6260483,[]
1679599757.9073274,[]
1679599758.1725857,[]
1679599758.4408195,[]
1679599758.7092328,[]
1679599758.978442,[]
1679599759.2456381,[]
1679599759.5138264,[]
1679599759.784643,"[[1, 138.47875855640493, 42.40763709306458, 293.92511801968857, 0.0007901581049835192]]"
1679599760.05544,"[[1, 138.42813428584435, 52.26532431451373, 292.2229458449015, 0.0008531848262246698]]"
1679599760.342853,"[[1, 138.48163511434925, 50.2880060729601, 292.6861169401736, 0.0008286703287026609]]"
1679599760.6129043,"[[1, 138.29643721617092, 44.09194395044885, 293.2817976947747, 0.0007746777059905986]]"
1679599760.8904166,"[[1, 138.22930559091358, 48.904839449407255, 292.37177810240195, 0.0007705269386589403]]"
1679599761.1585464,[]
1679599761.429551,"[[1, 138.11434563921057, 52.654192086751614, 291.46933930504497, 0.0007600052871847125]]"
1679599761.7119634,"[[1, 138.1756891423583, 52.87307896550669, 291.56341042465596, 0.0007739910922658612]]"
1679599761.986831,[]
1679599762.2537334,[]
1679599762.523899,"[[1, 138.33090219514742, 46.910601145992956, 292.91902239848133, 0.0007606324712833662]]"
1679599762.7944968,"[[1, 138.42214935552704, 41.55133096923812, 293.9247880468862, 0.0007715771614308433]]"
1679599763.065971,[]
1679599763.3375723,"[[1, 138.1739750743632, 40.19465197837554, 293.57621890865676, 0.0007867110934208162]]"
